title,price,pingfen,number,herf,page
Michael Kors Lexington Chronograph Stainless Steel Watch,$165.00 ,4 Stars & Up,"2,607",https://www.amazon.com/Michael-Kors-Quartz-Watch-Metal/dp/B083R64PTF?dchild=1,1
Fossil Men's Grant Stainless Steel Chronograph Quartz Watch,$79.99 ,3 Stars & Up,"5,940",https://www.amazon.com/Fossil-Grant-cron%C3%B3grafo-inoxidable-plateada/dp/B07Z45T2WZ?dchild=1,1
Michael Kors Slim Runway Stainless Steel Watch,$95.50 ,2 Stars & Up,"1,675",https://www.amazon.com/Michael-Kors-Runway-Quartz-Stainless/dp/B07ZR4L9P4?dchild=1,1
Casio Men's Vintage A168WA-1 Electro Luminescence Watch,$19.92 ,1 Star & Up,"9,614",https://www.amazon.com/Casio-Vintage-A168WA-1YES-Electro-Luminescence/dp/B000LAKYW8?dchild=1,1
Casio F91W-1 Classic Resin Strap Digital Sport Watch,$11.65 ,4.7 out of 5 stars,"10,363",https://www.amazon.com/Casio-F91W-1-Classic-Resin-Digital/dp/B000GAWSDG?dchild=1,1
Michael Kors Slim Runway Three-Hand Watch,$160.68 ,4.6 out of 5 stars,"3,379",https://www.amazon.com/Michael-Kors-Womens-Quartz-Watch/dp/B083R62PYC?dchild=1,1
Invicta Men's 0074 pro Diver Analog Japanese Quartz 18k Gold-plated Stainless Steel Watch,$82.33 ,4.7 out of 5 stars,"1,159",https://www.amazon.com/Invicta-0074-Japanese-Gold-Plated-Stainless/dp/B00075U5I0?dchild=1,1
Invicta Men's 8926OB Pro Diver Stainless Steel Automatic Watch with Link Bracelet,$83.98 ,4.7 out of 5 stars,"6,452",https://www.amazon.com/Invicta-8926OB-Stainless-Automatic-Bracelet/dp/B000JQFX1G?dchild=1,1
Swatch Big Bold Quartz Silicone Strap,$110.00 ,4.6 out of 5 stars,79,https://www.amazon.com/Swatch-Big-Bold-SO27E101-transparente/dp/B088MGN792?dchild=1,1
Invicta Men's Disney Limited Edition Stainless Steel Quartz Watch with Silicone Strap,$129.99 ,4.6 out of 5 stars,15,https://www.amazon.com/Invicta-Disney-Limited-Stainless-Silicone/dp/B087RTX161?dchild=1,1
Nine West Women's Neon Silicone Strap Watch,$31.44 ,4.7 out of 5 stars,4,https://www.amazon.com/dp/B081JBPM3V?dchild=1,1
"Tommy Hilfiger Women's Quartz Watch with Stainless Steel Strap, Silver, 15 (Model: 1782085)",$85.00 ,4.4 out of 5 stars,1,https://www.amazon.com/Tommy-Hilfiger-HilfigerLadies-Business-1782085/dp/B07RP33M7M?dchild=1,1
"Anne Klein Women's Easy to Read Croco-Grain Leather Strap Watch, AK/3540",$52.07 ,4.8 out of 5 stars,2,https://www.amazon.com/Anne-Klein-Croco-Grain-AK-3540CHGY/dp/B07YFFTFT8?dchild=1,1
"Timex Men's Navi XL 41mm Stainless Steel Analog Quartz Cloth Strap, Gray, 20 Casual Watch (Model: TW2U11100)",$129.00 ,5.0 out of 5 stars,1,https://www.amazon.com/Timex-Stainless-Analog-Quartz-Casual/dp/B088VYPQJY?dchild=1,1
Armitron Women's Swarovski Crystal Accented Leather Strap Watch,$32.38 ,5.0 out of 5 stars,1,https://www.amazon.com/Armitron-Swarovski-Gold-Tone-75-5725MPRGBH/dp/B081JB2TR8?dchild=1,1
"Lacoste Men's Moon Quartz Watch with Stainless Steel Strap, Blue, 20 (Model: 2011057)",$185.00 ,5.0 out of 5 stars,1,https://www.amazon.com/7146-M-Entertainment-Decoration-Poster-x23-5/dp/B00G1VXI0Q?dchild=1,1
"Letsfit Smart Watch, Fitness Tracker with Heart Rate Monitor, Activity Tracker with 1.3"" Touch Screen, IP68 Waterproof Pedometer Smartwatch with Sleep Monitor, Step Counter for Women and Men",$35.99 ,5.0 out of 5 stars,"7,554",https://www.amazon.com/Letsfit-Activity-Waterproof-Pedometer-Smartwatch/dp/B07X2KLTJ2?dchild=1,1
Casio F91W-1 Classic Resin Strap Digital Sport Watch,$11.65 ,5.0 out of 5 stars,"10,363",https://www.amazon.com/Casio-F91W-1-Classic-Resin-Digital/dp/B000GAWSDG?dchild=1,1
"Apple Watch Series 5 (GPS, 44mm) - Space Gray Aluminum Case with Black Sport Band",$414.00 ,5.0 out of 5 stars,"2,430",https://www.amazon.com/Apple-Watch-GPS-44mm-Aluminum/dp/B07XQXPF21?dchild=1,1
"Apple?Watch Series?3 (GPS, 42mm) - Space Gray Aluminum Case with Black sport Band",$199.00 ,5.0 out of 5 stars,"16,245",https://www.amazon.com/Apple-Watch-GPS-42mm-Space-Aluminium/dp/B07K387Y7K?dchild=1,1
Timex Men's Expedition Scout 40 Watch,$39.06 ,4.3 out of 5 stars,"6,022",https://www.amazon.com/Timex-TW4B15500-Expedition-Scout-Slip-Thru/dp/B07FFBHM7F?dchild=1,2
Mens Digital Sports Watch LED Screen Large Face Military Watches for Men Waterproof Casual Luminous Stopwatch Alarm Simple Army Watch,$14.99 ,4.6 out of 5 stars,"5,794",https://www.amazon.com/CakCity-Military-Waterproof-Luminous-Stopwatch/dp/B018HTGSN8?dchild=1,2
"YAMAY Smart Watch for Android and iOS Phone IP68 Waterproof, Fitness Tracker Watch with Heart Rate Monitor Step Sleep Tracker, Smartwatch Compatible with iPhone Samsung, Watch for Men Women",$34.84 ,4.8 out of 5 stars,"6,003",https://www.amazon.com/YAMAY-Waterproof-Pedometer-Smartwatch-Compatible/dp/B07SK1SF81?dchild=1,2
Casio Men's 'G-Shock' Quartz Resin Sport Watch,$44.95 ,4.8 out of 5 stars,"5,239",https://www.amazon.com/Casio-G-Shock-DW9052-1BCG-Black-Resin/dp/B004IYZ17Q?dchild=1,2
"Garmin Forerunner 35; Easy-to-Use GPS Running Watch, Black",$99.00 ,4.2 out of 5 stars,"4,287",https://www.amazon.com/Garmin-Forerunner-Easy-Running-Watch/dp/B01KPUHBK6?dchild=1,2
Timex Ironman Classic 30 Full-Size 38mm Watch,$34.65 ,4.4 out of 5 stars,"4,684",https://www.amazon.com/Timex-TW5M18700-Ironman-Classic-Negative/dp/B079D86TVD?dchild=1,2
"Samsung Galaxy Watch Active2 W/ Enhanced Sleep Tracking Analysis, Auto Workout Tracking, and Pace Coaching (44mm, GPS, Bluetooth), Aqua Black - US Version with Warranty",$249.00 ,4.1 out of 5 stars,"5,334",https://www.amazon.com/Samsung-Enhanced-Tracking-Analysis-Coaching/dp/B07VQJ56T3?dchild=1,2
"LETSCOM Fitness Tracker HR, Activity Tracker Watch with Heart Rate Monitor, Waterproof Smart Fitness Band with Step Counter, Calorie Counter, Pedometer Watch for Women and Men",$27.99 ,4.7 out of 5 stars,"1,175",https://www.amazon.com/LETSCOM-Waterproof-Activity-Pedometer-Wristband/dp/B07FKBB8YQ?dchild=1,2
Timex Unisex Weekender 38mm Watch,$30.55 ,4.4 out of 5 stars,"10,754",https://www.amazon.com/Timex-Unisex-T2N651-Weekender-Slip-Thru/dp/B004VR9HP2?dchild=1,2
